"variable","method","suite","method_type","method_class","cache_type","display_name","verified","commercial_use","source_file","current"
"tabiclv2_method_metadata","TabICLv2","tabarena-2026-02-16","config","model","s3","TabICLv2",NA,TRUE,"tabicl__info.py",FALSE
"tabpfn_3_method_metadata","TabPFN-3","tabarena-2026-05-13","config","model","r2","TabPFN-3",NA,TRUE,"tabpfn_3__info.py",FALSE
"tabpfnwide_method_metadata","TabPFN-Wide","tabarena-2026-05-13","config","model","r2","TabPFN-Wide",FALSE,TRUE,"tabpfnwide__info.py",FALSE
"chimeraboost_method_metadata","ChimeraBoost","tabarena-2026-06-30","config","model","r2","ChimeraBoost",TRUE,TRUE,"chimeraboost__info.py",FALSE
"nori_method_metadata","Nori","tabarena-2026-06-30","config","model","r2","Nori",TRUE,TRUE,"nori__info.py",FALSE
"tabswift_method_metadata","TabSwift","tabarena-2026-07-06","config","model","r2","TabSwift",FALSE,TRUE,"tabswift__info.py",FALSE
"tabfm_method_metadata","TabFM","tabarena-2026-07-07","config","model","r2","TabFM",TRUE,FALSE,"tabfm__info.py",FALSE
"chimeraboost_new_method_metadata","ChimeraBoost","tabarena-2026-07-13","config","model","r2","ChimeraBoost",TRUE,TRUE,"chimeraboost__info.py",FALSE
"nori30m_method_metadata","Nori-30M","tabarena-2026-07-13","config","model","r2","Nori-30M",TRUE,TRUE,"nori__info.py",FALSE
"tabfm_new_method_metadata","TabFM","tabarena-2026-07-13","config","model","r2","TabFM",TRUE,FALSE,"tabfm__info.py",FALSE
"tabiclv2_new_method_metadata","TabICLv2","tabarena-2026-07-13","config","model","r2","TabICLv2",NA,TRUE,"tabicl__info.py",FALSE
"tabpfn_3_new_method_metadata","TabPFN-3","tabarena-2026-07-13","config","model","r2","TabPFN-3",NA,TRUE,"tabpfn_3__info.py",FALSE
"tabswift_new_method_metadata","TabSwift","tabarena-2026-07-13","config","model","r2","TabSwift",FALSE,TRUE,"tabswift__info.py",FALSE
"exaone_tabular_method_metadata","EXAONE-Tabular","tabarena-2026-08-06","config","model","r2","EXAONE-Tabular",TRUE,FALSE,"exaone_tabular__info.py",FALSE
"tabldm_method_metadata","Xiaomi-TabLDM","tabarena-2026-09-11","config","model","r2","Xiaomi-TabLDM",TRUE,TRUE,"tabldm__info.py",FALSE
"mitra_v2_method_metadata","Mitra-v2","tabarena-2026-09-12","config","model","r2","Mitra-v2",TRUE,TRUE,"mitra_v2__info.py",FALSE
"causilo_method_metadata","Causilo","tabarena-2026-09-13","config","model","r2","Causilo",TRUE,FALSE,"causilo__info.py",FALSE
